api,project_name,high_authorized_num,high_authorized_percent,low_authorized_num,low_authorized_percent
identity:update_user,default,0,0.00,0,0.00
identity:update_role,default,0,0.00,0,0.00
identity:update_project,default,0,0.00,0,0.00
identity:update_group,default,0,0.00,0,0.00
identity:update_domain,default,0,0.00,0,0.00
identity:list_users,default,0,0.00,0,0.00
identity:list_services,default,0,0.00,0,0.00
identity:list_roles,default,0,0.00,0,0.00
identity:list_projects,default,0,0.00,0,0.00
identity:list_groups,default,0,0.00,0,0.00
identity:list_domains,default,0,0.00,0,0.00
identity:delete_user,default,0,0.00,0,0.00
identity:delete_service,default,0,0.00,0,0.00
identity:delete_role,default,0,0.00,0,0.00
identity:delete_project,default,0,0.00,0,0.00
identity:delete_group,default,0,0.00,0,0.00
identity:delete_domain,default,0,0.00,0,0.00
identity:create_user,default,0,0.00,0,0.00
identity:create_service,default,0,0.00,0,0.00
identity:create_role,default,0,0.00,0,0.00
identity:create_project,default,0,0.00,0,0.00
identity:create_group,default,0,0.00,0,0.00
identity:create_domain,default,0,0.00,0,0.00
identity:list_users,demo-project,4,80.00,1,20.00
identity:list_projects,demo-project,1,20.00,4,80.00
identity:list_groups,demo-project,2,50.00,2,50.00
identity:delete_user,demo-project,5,100.00,0,0.00
identity:delete_role,demo-project,2,50.00,2,50.00
identity:create_user,demo-project,4,80.00,1,20.00
identity:create_project,demo-project,3,100.00,0,0.00
identity:create_domain,demo-project,3,100.00,0,0.00
identity:update_user,demo-project,2,50.00,2,50.00
identity:update_group,demo-project,2,50.00,2,50.00
identity:create_service,demo-project,2,100.00,0,0.00
identity:update_role,demo-project,1,20.00,4,80.00
identity:create_group,demo-project,2,100.00,0,0.00
identity:delete_project,demo-project,2,100.00,0,0.00
identity:delete_domain,demo-project,2,100.00,0,0.00
identity:update_project,demo-project,0,0.00,3,100.00
identity:update_domain,demo-project,0,0.00,2,100.00
identity:list_services,demo-project,0,0.00,4,100.00
identity:list_roles,demo-project,0,0.00,4,100.00
identity:list_domains,demo-project,0,0.00,2,100.00
identity:create_role,demo-project,0,0.00,4,100.00
identity:delete_group,demo-project,0,0.00,2,100.00
identity:delete_service,demo-project,0,0.00,1,100.00
